答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),IP省份,IP城市,来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_Your gender :,Q2_Your age:,Q3_Your current statue:,Q4_Your target degree:,Q5_Who is your sponsor? (multiple choice)_Parents,Q5_Who is your sponsor? (multiple choice)_Government or Corporation,Q5_Who is your sponsor? (multiple choice)_Personal,Q6_Have you ever studied abroad?,Q7_Marital status:,Q8_Do you plan to find a job in the United States after graduation?,Q9_Which major do you want to study ?,"Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Salary_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Employment rate_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Self-interest_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Composition of students nationality_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Expectation of parents_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_The advice from friends_开放选项",Q11_Which of the following factors is the most important reason when you choose a major?,Q12_How are you today :-)
169,27.125.240.196,,,,,,,,,,, 2020-11-04 12:22:21, 2020-11-04 12:23:26,Unknown Browser,iPhone iOS 14.0,1分5秒,正常完成,Female,23,Enrolled,Bachelor,Parents,,,Yes,Unmarried,No,Business,5.0,5.0,5.0,5.0,5.0,5.0,Salary,D
170,124.160.216.203,,,,,浙江省,杭州市,,,,, 2020-11-04 12:22:23, 2020-11-04 12:25:33,Unknown Browser,iPhone iOS 14.1,3分10秒,正常完成,Female,25,Graduated,Bachelor,Parents,,Personal,No,Unmarried,No,Art,10.0,8.0,8.0,8.0,9.0,7.0,Salary,B
171,117.136.68.175,,,,,江苏省,南通市,,,,, 2020-11-04 12:24:52, 2020-11-04 12:26:37,Unknown Browser,iPhone iOS 12.4.1,1分45秒,正常完成,Male,25,Graduated,Master,Parents,,,Yes,Unmarried,No,Business,7.0,7.0,3.0,4.0,6.0,3.0,Salary,B
172,106.47.237.131,,,,,天津市,天津市,,,,, 2020-11-04 12:26:56, 2020-11-04 12:29:39,Chrome 77.0.3865.120,Android Linux 10,2分43秒,正常完成,Male,25,Graduated,Bachelor,Parents,,,No,Unmarried,No,Business,5.0,5.0,5.0,5.0,5.0,5.0,Salary,D
173,117.83.144.54,,,,,江苏省,苏州市,,,,, 2020-11-04 12:30:45, 2020-11-04 12:32:24,Unknown Browser,iPhone iOS 14.1,1分39秒,正常完成,Male,25,Not enrolled,Master,Parents,,,Yes,Unmarried,No,Business,10.0,10.0,7.0,7.0,7.0,7.0,Salary,C
174,112.97.217.180,,,,,广东省,东莞市,,,,, 2020-11-04 12:30:11, 2020-11-04 12:33:23,Chrome 77.0.3865.120,Android Linux 10,3分12秒,正常完成,Male,24,Graduated,Master,,Government or Corporation,,No,Unmarried,No,Business,6.0,7.0,7.0,7.0,5.0,3.0,Salary,D
175,223.104.228.53,,,,,,,,,,, 2020-11-04 12:28:26, 2020-11-04 12:33:38,Chrome 77.0.3865.120,Android Linux 9,5分12秒,正常完成,Female,24,Graduated,Bachelor,Parents,,,Yes,Unmarried,No,Art,8.0,9.0,10.0,6.0,7.0,7.0,Self- interest,B
176,223.104.212.62,,,,,上海市,上海市,,,,, 2020-11-04 12:33:43, 2020-11-04 12:35:23,Unknown Browser,iPhone iOS 14.1,1分40秒,正常完成,Female,25,Graduated,Master,Parents,,,Yes,Unmarried,Yes,Business,10.0,10.0,8.0,4.0,4.0,4.0,Salary,A
177,39.89.184.201,,,,,山东省,青岛市,,,,, 2020-11-04 12:34:13, 2020-11-04 12:37:05,Unknown Browser,iPhone iOS 14.1,2分52秒,正常完成,Female,23,Graduated,Master,Parents,,,No,Unmarried,Yes,Others,5.0,5.0,8.0,0.0,5.0,8.0,Self- interest,C
178,107.77.213.165,,,,,,,,,,, 2020-11-04 12:36:55, 2020-11-04 12:38:08,Unknown Browser,iPhone iOS 14.1,1分13秒,正常完成,Male,25,Graduated,PHD,Parents,,,Yes,Unmarried,Yes,Art,8.0,5.0,10.0,6.0,6.0,5.0,Self- interest,A
179,222.125.248.96,,,,,广东省,深圳市,,,,, 2020-11-04 12:35:28, 2020-11-04 12:40:37,Unknown Browser,iPhone iOS 14.1,5分9秒,正常完成,Male,24,Enrolled,Master,Parents,,Personal,Yes,Unmarried,No,Art,7.0,7.0,10.0,0.0,2.0,5.0,Self- interest,C
180,223.104.2.42,,,,,山东省,青岛市,,,,, 2020-11-04 12:40:29, 2020-11-04 12:43:26,Chrome 78.0.3904.62,Android Linux 9,2分57秒,正常完成,Female,28,Graduated,Master,,,Personal,Yes,Unmarried,No,Education,8.0,8.0,8.0,7.0,3.0,2.0,Self- interest,A
181,39.79.247.37,,,,,山东省,东营市,,,,, 2020-11-04 12:47:11, 2020-11-04 12:48:42,Unknown Browser,iPhone iOS 13.3,1分31秒,正常完成,Male,25,Graduated,Master,Parents,,,Yes,Unmarried,No,Business,10.0,10.0,10.0,10.0,10.0,10.0,Salary,A
182,122.96.40.71,,,,,江苏省,南京市,,,,, 2020-11-04 12:48:49, 2020-11-04 12:51:54,Unknown Browser,iPhone iOS 13.6,3分5秒,正常完成,Female,23,Graduated,Master,,,Personal,Yes,Unmarried,No,Business,8.0,6.0,7.0,4.0,5.0,3.0,Salary,C
183,223.104.147.44,,,,,江苏省,南京市,,,,, 2020-11-04 12:47:49, 2020-11-04 12:52:04,Unknown Browser,iPhone iOS 14.1,4分15秒,正常完成,Female,24,Graduated,PHD,,,Personal,No,Unmarried,No,Humanities,6.0,6.0,9.0,6.0,3.0,5.0,Self- interest,D
184,76.114.212.108,,,,,马里兰,,,,,, 2020-11-04 12:55:44, 2020-11-04 12:57:09,Unknown Browser,iPhone iOS 14.0.1,1分25秒,正常完成,Male,24,Enrolled,Master,Parents,,,No,Unmarried,No,Public Affairs,9.0,10.0,6.0,6.0,7.0,3.0,Salary,C
185,117.136.0.245,,,,,北京市,北京市,,,,, 2020-11-04 12:48:17, 2020-11-04 12:57:44,Unknown Browser,iPhone iOS 14.0.1,9分27秒,正常完成,Female,25,Graduated,Bachelor,,,Personal,No,Unmarried,No,Others,8.0,6.0,8.0,6.0,1.0,1.0,Self- interest,C
186,223.104.7.107,,,,,天津市,天津市,,,,, 2020-11-04 13:08:30, 2020-11-04 13:09:57,Unknown Browser,iPhone iOS 12.0,1分27秒,正常完成,Female,24,Graduated,Bachelor,Parents,,Personal,No,Unmarried,No,Business,7.0,7.0,6.0,8.0,8.0,9.0,Salary,B
187,221.216.140.100,,,,,北京市,北京市,,,,, 2020-11-04 13:19:45, 2020-11-04 13:22:37,Chrome 77.0.3865.120,Android Linux 10,2分52秒,正常完成,Male,24,Graduated,Bachelor,,,Personal,No,Unmarried,No,Engineering,8.0,7.0,6.0,7.0,7.0,6.0,Salary,C
188,180.167.84.42,,,,,上海市,上海市,,,,, 2020-11-04 13:38:58, 2020-11-04 13:39:49,Unknown Browser,iPhone iOS 14.0.1,0分51秒,正常完成,Male,26,Graduated,Master,Parents,,,Yes,Unmarried,No,Business,10.0,10.0,10.0,10.0,10.0,10.0,Salary,A
189,60.29.209.173,,,,,天津市,天津市,,,,, 2020-11-04 13:38:58, 2020-11-04 13:40:02,Unknown Browser,iPhone iOS 14.1,1分4秒,正常完成,Female,24,Graduated,PHD,Parents,,,Yes,Unmarried,No,Art,10.0,10.0,8.0,5.0,5.0,6.0,Salary,D
190,106.38.115.23,,,,,北京市,北京市,,,,, 2020-11-04 13:44:29, 2020-11-04 13:45:49,Unknown Browser,iPhone iOS 14.0,1分20秒,正常完成,Female,24,Enrolled,Master,Parents,,,Yes,Unmarried,No,Business,8.0,8.0,6.0,6.0,6.0,4.0,Salary,B
191,61.158.78.226,,,,,黑龙江省,牡丹江市,,,,, 2020-11-04 16:47:45, 2020-11-04 16:49:46,Chrome 78.0.3904.62,Android Linux 10,2分1秒,正常完成,Male,25,Graduated,Master,Parents,,,Yes,Unmarried,No,Business,5.0,0.0,10.0,0.0,0.0,8.0,Self- interest,A
192,1.143.155.45,,,,,,,,,,, 2020-11-04 16:49:58, 2020-11-04 16:51:11,Unknown Browser,iPhone iOS 14.1,1分13秒,正常完成,Female,24,Enrolled,Master,Parents,,,Yes,Unmarried,No,Humanities,7.0,6.0,5.0,5.0,6.0,8.0,Self- interest,C
193,112.224.1.36,,,,,山东省,济南市,,,,, 2020-11-04 17:54:04, 2020-11-04 17:55:59,Unknown Browser,iPhone iOS 13.6,1分55秒,正常完成,Female,24,Enrolled,Master,Parents,,,Yes,Unmarried,No,Business,10.0,10.0,10.0,5.0,5.0,5.0,Salary,A
194,117.136.33.218,,,,,广东省,湛江市,,,,, 2020-11-04 17:58:55, 2020-11-04 18:00:04,Chrome 78.0.3904.62,Android Linux 10,1分9秒,正常完成,Male,24,Enrolled,PHD,,Government or Corporation,,Yes,Unmarried,No,Business,10.0,9.0,7.0,5.0,4.0,9.0,Salary,A
195,117.136.0.170,,,,,北京市,北京市,,,,, 2020-11-04 20:10:56, 2020-11-04 20:12:00,Unknown Browser,iPhone iOS 14.0.1,1分4秒,正常完成,Female,21,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Business,8.0,8.0,8.0,8.0,8.0,7.0,Salary,B
196,58.59.89.238,,,,,山东省,威海市,,,,, 2020-11-04 20:10:58, 2020-11-04 20:12:41,Unknown Browser,iPhone iOS 14.1,1分43秒,正常完成,Female,27,Graduated,PHD,Parents,Government or Corporation,,Yes,Unmarried,No,Education,8.0,7.0,8.0,6.0,7.0,7.0,Self- interest,A
197,71.104.45.130,,,,,加利福尼亚,,,,,, 2020-11-04 22:59:23, 2020-11-04 23:00:41,Unknown Browser,iPhone iOS 13.7,1分18秒,正常完成,Female,23,Graduated,Master,Parents,,,Yes,Unmarried,Yes,Education,5.0,5.0,8.0,4.0,0.0,0.0,Self- interest,A
198,218.79.220.80,,,,,上海市,上海市,,,,, 2020-11-05 00:05:25, 2020-11-05 00:07:18,Unknown Browser,iPhone iOS 13.6,1分53秒,正常完成,Female,24,Enrolled,Master,Parents,,,Yes,Unmarried,No,Business,6.0,8.0,10.0,8.0,6.0,6.0,Self- interest,A
199,216.164.63.41,,,,,马里兰,,,,,, 2020-11-05 06:35:00, 2020-11-05 06:37:51,Chrome 78.0.3904.62,Android Linux 10,2分51秒,正常完成,Female,20,Enrolled,Bachelor,Parents,,,No,Unmarried,No,Others,0.0,1.0,10.0,0.0,1.0,2.0,Self- interest,A
200,112.224.67.223,,,,,山东省,济南市,,,,, 2020-11-05 11:35:04, 2020-11-05 11:38:25,Unknown Browser,iPhone iOS 13.6,3分21秒,正常完成,Female,33,Graduated,Master,Parents,,Personal,No,Married,Yes,Law,9.0,8.0,8.0,3.0,3.0,5.0,Salary,C
